sequence,date,close,price,high,low,volume,
1,20211022,2325 ,2325 ,2355 ,2320 ,39215 ,
2,20211025,2310 ,2340 ,2350 ,2290 ,45888 ,
3,20211026,2330 ,2320 ,2340 ,2310 ,68212 ,
4,20211027,2370 ,2330 ,2370 ,2305 ,61785 ,
5,20211028,2370 ,2370 ,2400 ,2355 ,82324 ,
6,20211029,2285 ,2370 ,2385 ,2285 ,93918 ,
7,20211101,2315 ,2285 ,2470 ,2250 ,182647 ,
8,20211102,2360 ,2315 ,2410 ,2310 ,220197 ,
9,20211103,2390 ,2340 ,2460 ,2340 ,125194 ,
10,20211104,2320 ,2395 ,2410 ,2315 ,102406 ,
11,20211105,2280 ,2320 ,2335 ,2260 ,70039 ,
12,20211108,2270 ,2280 ,2295 ,2200 ,91919 ,
13,20211109,2265 ,2255 ,2290 ,2245 ,48021 ,
14,20211110,2235 ,2285 ,2285 ,2195 ,116664 ,
15,20211111,2190 ,2225 ,2235 ,2190 ,123530 ,
16,20211112,2240 ,2190 ,2240 ,2190 ,61745 ,
17,20211115,2255 ,2240 ,2265 ,2220 ,97063 ,
18,20211116,2220 ,2240 ,2240 ,2195 ,94025 ,
19,20211117,2145 ,2220 ,2240 ,2130 ,100970 ,
20,20211118,2130 ,2145 ,2170 ,2100 ,139054 ,
21,20211119,2275 ,2140 ,2285 ,2100 ,211597 ,
22,20211122,2185 ,2270 ,2305 ,2185 ,165336 ,
23,20211123,2430 ,2190 ,2810 ,2190 ,17556841 ,
24,20211124,2400 ,2700 ,2765 ,2375 ,9486768 ,
25,20211125,2470 ,2445 ,2600 ,2390 ,3282501 ,
26,20211126,2335 ,2450 ,2450 ,2295 ,1346286 ,
27,20211129,2190 ,2285 ,2395 ,2180 ,2251710 ,
28,20211130,2100 ,2230 ,2250 ,2100 ,565778 ,
29,20211201,2145 ,2060 ,2190 ,2005 ,381309 ,
30,20211202,2130 ,2110 ,2140 ,2070 ,343003 ,
31,20211203,2150 ,2130 ,2200 ,2125 ,200744 ,
32,20211206,2260 ,2135 ,2300 ,2115 ,574938 ,
33,20211207,2220 ,2205 ,2235 ,2190 ,258699 ,
